Step,Value
0.0,0.0
0.032,0.11406250298023225
0.064,0.29859375208616257
0.096,0.4495312534272671
0.128,0.5603906195610762
0.16,0.631289049051702
0.192,0.6794726471416652
0.224,0.7142675628419966
0.256,0.7358056659577414
0.288,0.7529028234421276
0.32,0.765670159336878
0.352,0.7733819677814608
0.384,0.7830972470037523
0.416,0.7859236199255974
0.448,0.79514930638652
0.48,0.7982777853458174
0.512,0.8048420200570945
0.544,0.803436649333662
0.576,0.8043745818193884
0.608,0.8107029230622516
0.64,0.8096483365311258
0.672,0.8109179146892842
0.704,0.8131152097288279
0.736,0.8141357155592992
0.768,0.8154272363559283
0.8,0.8176355027147073
0.832,0.8160833847020039
0.864,0.8168698316561167
0.896,0.8199192765229436
0.928,0.8173033834931003
0.96,0.8206048131702715
