Step,Value
0.96,0.734335084646907
0.976,0.7337300280183388
0.992,0.7406150152012623
1.008,0.7385887528322596
1.024,0.7405443799924085
1.04,0.7363659447645758
1.056,0.7422454807269382
1.072,0.7442477272504473
1.088,0.7468113564726663
1.104,0.7571556698916828
1.12,0.7526403432904917
1.136,0.7502264264136174
1.152,0.7527694643989016
1.168,0.7601347238548005
1.184,0.7574111059669357
1.2,0.759330562520211
1.216,0.7606027681470837
1.232,0.7601451257288916
1.248,0.7635100771695605
1.264,0.764723792161059
1.28,0.7631431591935514
1.296,0.7637590652916609
1.312,0.7637545409904807
1.328,0.7715647788398906
1.344,0.7629698798832021
1.36,0.763828679212765
1.376,0.7605080824538251
1.392,0.7686915507636557
1.408,0.7716895396869425
1.424,0.7658447650750997
1.44,0.7710473849217356
1.456,0.7722424424608678
1.472,0.7826837081174121
1.488,0.7789980957140558
1.504,0.7752803062016782
1.52,0.7696714150217681
1.536,0.7759294682397201
1.552,0.7846834745831168
1.568,0.7870292408678371
1.584,0.7877333632813612
1.6,0.7854291732960303
1.616,0.785527077111272
1.632,0.7868260278268
1.648,0.7893505162975858
1.664,0.7885814938436781
1.68,0.7930407540743964
1.696,0.7902703889581272
1.712,0.7896664444790635
1.728,0.7851457150869744
1.744,0.7836666182723233
1.76,0.7869895734412764
1.776,0.7916197795680808
1.792,0.7965911338235758
1.808,0.7942330692959737
1.824,0.7885227727270578
1.84,0.7937926315951573
1.856,0.7950213086450213
1.872,0.7929793959778604
1.888,0.7957084360680012
1.904,0.7939479739944652
1.92,0.7933802501102545
1.936,0.7938776262472201
1.952,0.794907552394774
1.968,0.7905787738132012
1.984,0.7901331440591579
2.0,0.7914728351426008
2.016,0.8010489259159507
2.032,0.7878682272630901
2.048,0.7886216172078238
2.064,0.7847795550276332
2.08,0.7928585144007947
2.096,0.7912730143529547
2.112,0.7878240131369418
2.128,0.7909432541842851
2.144,0.7878153866288857
2.16,0.7970326813935139
2.176,0.7941413359283853
2.192,0.7925394096195424
2.208,0.7858009595781428
2.224,0.7883692214444211
2.24,0.7938721095301177
2.256,0.7953735547650589
2.272,0.7964367845350868
2.288,0.796343385114986
2.304,0.7945779556705148
2.32,0.7951014635301427
2.336,0.7994257210362352
2.352,0.8025253712469537
2.368,0.8065751939681272
2.384,0.8017250969840636
2.4,0.7991437949157532
2.416,0.803009392689505
2.432,0.8058796832317306
2.448,0.804189846384237
2.464,0.8050636874972332
2.48,0.805969338980245
2.496,0.7993909326031443
2.512,0.7993829651094793
2.528,0.8028164706338107
2.544,0.8021894793564408
2.56,0.8017197301414772
2.576,0.8010161246074818
2.592,0.8061330479986262
2.608,0.8019727847281491
2.624,0.8012989054770965
2.64,0.7940869575069198
2.656,0.8000122430585747
2.672,0.7996936203371945
2.688,0.7967218042081328
2.704,0.7975796401831374
2.72,0.7994148105548256
2.736,0.8029886469327625
2.752,0.8088380686980097
2.768,0.8114502724280759
2.784,0.8047876505191527
2.8,0.8073938264516692
2.816,0.8074469156100204
2.832,0.8077859673417533
2.848,0.8112367289025051
2.864,0.8176496275642744
2.88,0.8131998006691153
2.896,0.8072248907978146
2.912,0.814393709704022
2.928,0.8145406000836395
2.944,0.8143015381208908
2.96,0.8138695297892815
2.976,0.8147472708551053
2.992,0.8084673866196456
3.008,0.8100149325809867
3.024,0.8112574662904933
3.04,0.8085974974503614
3.056,0.8077362439568091
3.072,0.8116806279388691
3.088,0.8174028163536203
3.104,0.8068264010242527
3.12,0.8076319636251482
3.136,0.8038159877730386
3.152,0.809095485541869
3.168,0.8087665058839564
3.184,0.8034457672470929
3.2,0.8071916455444754
3.216,0.8064083335010738
3.232,0.8144541619821652
3.248,0.8120708286068968
3.264,0.808535417879727
3.28,0.8012989565556777
3.296,0.8061182401987679
3.312,0.8107153724835697
3.328,0.8133264457785281
3.344,0.812444462160428
3.36,0.8109097251197495
3.376,0.8092048649440605
3.392,0.8127274455850522
3.408,0.8137074680241545
3.424,0.8135724947409133
3.44,0.8205362402178993
3.456,0.8147993605722065
3.472,0.8088059386307536
3.488,0.8129967133549123
3.504,0.8175920983328059
3.52,0.8147335420138455
3.536,0.8114292805436659
3.552,0.8129021319271827
3.568,0.8105135755003345
3.584,0.8099442817897027
3.6,0.8173158813581082
3.616,0.8133454347185896
3.632,0.8127664637830161
3.648,0.816070721162672
3.664,0.8195978629655218
3.68,0.8118301743302035
3.696,0.813883846701845
3.712,0.8169419197746438
3.728,0.8164397194240651
3.744,0.8125948465990107
3.76,0.8123911697232267
3.776,0.8118205705564986
