Step,Value
0.96,0.8206048131702715
0.976,0.8229586542009499
0.992,0.8249168127953602
1.008,0.8218334183186091
1.024,0.8259167008146543
1.04,0.8268645968310484
1.056,0.82890105079971
1.072,0.829763024207762
1.088,0.8339440073355094
1.104,0.8413470012835689
1.12,0.8369234911050413
1.136,0.8342430050892637
1.152,0.8424339918157958
1.168,0.8441857411395264
1.184,0.8413116193776703
1.2,0.8447183001520919
1.216,0.8456404024602318
1.232,0.8461014536143017
1.248,0.8471132172704077
1.264,0.8515253490984607
1.28,0.8457626614362085
1.296,0.8466313438311261
1.312,0.8473781623788199
1.328,0.8497828383419673
1.344,0.8442664215551694
1.36,0.8465082083933989
1.376,0.8462228494283279
1.392,0.8526426711378853
1.408,0.8519463319926639
1.424,0.8495669255330751
1.44,0.8494709675349091
1.456,0.850829240920012
1.472,0.859789608539077
1.488,0.8575510673825604
1.504,0.8539317693861654
1.52,0.8497783763484325
1.536,0.8545766881742163
1.552,0.8619758393187366
1.568,0.8633316708514611
1.584,0.8632283485387524
1.6,0.8597391683089117
1.616,0.8600258448832919
1.632,0.8617316593286242
1.648,0.8649283403931481
1.664,0.8662141737728528
1.68,0.8674820749654975
1.696,0.86327228390647
1.712,0.8638236395690493
1.728,0.8634743328975465
1.744,0.8640809176408661
1.76,0.8671967147808977
1.776,0.8675046145430062
1.792,0.8735960513110386
1.808,0.8696105375764482
1.824,0.8621490247486887
1.84,0.8685745123743444
1.856,0.8716310026108935
1.872,0.8683155060738184
1.888,0.8683765173420239
1.904,0.8709070205919409
1.92,0.8687347531434131
1.936,0.8701486170349634
1.952,0.8685118049412031
1.968,0.8673808917417655
1.984,0.8669716887183254
2.0,0.8627045836303266
2.016,0.8713522894309775
2.032,0.8606761566364177
2.048,0.8634630675893729
2.064,0.8639190314105006
2.08,0.8691470085526929
2.096,0.8676984935475104
2.112,0.8633804931974765
2.128,0.8645027585196672
2.144,0.8691263649547188
2.16,0.8756569253248021
2.176,0.8731409721991442
2.192,0.8690704908679436
2.208,0.8612539870893215
2.224,0.8629707447367536
2.24,0.8682041342893058
2.256,0.8709770528395382
2.272,0.8690822764197691
2.288,0.8700099013229063
2.304,0.8720361899326171
2.32,0.8741431092714234
