Step,Value
0.0,0.0
0.032,0.029218750074505806
0.064,0.09515625331550837
0.096,0.16296875523403287
0.128,0.21687500202097
0.16,0.25984374445397407
0.192,0.29101562878349796
0.224,0.3213671911798883
0.256,0.34091796820575837
0.288,0.35647460493055405
0.32,0.3605029268692306
0.352,0.3725952199911262
0.384,0.3848132338034702
0.416,0.3898284954780138
0.448,0.39936737333505334
0.48,0.40546493785961957
0.512,0.4133574617772524
0.544,0.4165224856569978
0.576,0.4149799856759415
0.608,0.41998999879843524
0.64,0.4249950029754963
0.672,0.4265599985075159
0.704,0.43093625402212954
0.736,0.43312438177943635
0.768,0.43328093910157883
0.8,0.43703108739823204
0.832,0.4378905431030696
0.864,0.4400390155910703
0.896,0.43470700421925645
0.928,0.4379785003214889
0.96,0.43953612158446576
