Step,Value
0.0,0.0
0.032,0.08046875149011612
0.064,0.22968750074505806
0.096,0.35828124918043613
0.128,0.455703136511147
0.16,0.5215234444476664
0.192,0.56958983768709
0.224,0.6079199236119166
0.256,0.6311474701506086
0.288,0.6512768696120474
0.32,0.6663415645743953
0.352,0.6786395418239408
0.384,0.6845541351831343
0.416,0.6879801925915672
0.448,0.6996932117590404
0.48,0.7014872177664984
0.512,0.7092592291148776
0.544,0.7087702538625535
0.576,0.711181987626162
0.608,0.7185597366605236
0.64,0.7188111219065405
0.672,0.720186813337456
0.704,0.7230621495161706
0.736,0.7244217057185498
0.768,0.7290077338197394
0.8,0.7332538728703342
0.832,0.7324863257402818
0.864,0.7306181581017693
0.896,0.7310903266666988
0.928,0.7325764097570707
0.96,0.734335084646907
